truckid,latitude,longitude,city
A54,38.440467,-122.714431,Santa Rosa
A20,36.977173,-121.899402,Aptos
A40,37.957702,-121.29078,Stockton
A31,39.409608,-123.355566,Willits
A71,33.683947,-117.794694,Irvine
A50,38.40765,-122.947713,Occidental
A51,37.639097,-120.996878,Modesto
A19,37.962146,-122.345526,San Pablo
A77,37.962146,-122.345526,San Pablo
A92,37.484938,-119.966284,Mariposa
A89,39.017396,-122.057748,Arbuckle
A86,32.715329,-117.157255,San Diego
A5,41.526509,-124.038407,Klamath
A54,35.373292,-119.018712,Bakersfield
A48,38.752124,-121.288006,Roseville
A2,32.61768,-116.187424,Jacumba
A98,33.19587,-117.379483,Oceanside
A10,40.761243,-123.994778,Kneeland
A12,37.968812,-121.668008,Knightsen
A43,37.968812,-121.668008,Knightsen
A65,37.484938,-119.966284,Mariposa
A62,34.106676,-117.806726,San Dimas
A94,37.941325,-122.484704,San Quentin
A68,38.440467,-122.714431,Santa Rosa
A49,39.150171,-123.207783,Ukiah
A72,37.957702,-121.29078,Stockton
A10,34.106676,-117.806726,San Dimas
A68,34.500831,-117.185876,Apple Valley
A51,33.846404,-118.046731,La Palma
A7,40.563763,-122.238892,Palo Cedro
A11,39.409608,-123.355566,Willits
A8,38.440467,-122.714431,Santa Rosa
A37,34.435829,-119.827639,Goleta
A9,38.716687,-121.364422,Antelope
A34,38.440467,-122.714431,Santa Rosa
A38,33.663357,-116.310009,La Quinta
A56,34.435829,-119.827639,Goleta
A27,38.40765,-122.947713,Occidental
A26,34.44805,-119.242889,Ojai
A58,38.716687,-121.364422,Antelope
A57,36.471865,-6.196595,San Fernando
A68,33.743076,-117.109197,Homeland
A17,37.957702,-121.29078,Stockton
A93,38.440467,-122.714431,Santa Rosa
A37,37.441883,-122.143019,Palo Alto
A33,37.941325,-122.484704,San Quentin
A33,40.761243,-123.994778,Kneeland
A69,35.373292,-119.018712,Bakersfield
A22,39.150171,-123.207783,Ukiah
A98,37.941325,-122.484704,San Quentin
A100,34.136119,-117.865339,Glendora
A15,39.230151,-121.136075,Rough and Ready
A66,36.852455,-121.401602,Hollister
A33,38.440467,-122.714431,Santa Rosa
A15,38.440467,-122.714431,Santa Rosa
A37,34.354166,-119.059271,Santa Paula
A49,38.019366,-122.134132,Martinez
A50,34.136119,-117.865339,Glendora
A38,33.663357,-116.310009,La Quinta
A52,38.752124,-121.288006,Roseville
A22,38.440467,-122.714431,Santa Rosa
A16,39.017396,-122.057748,Arbuckle
A67,38.440467,-122.714431,Santa Rosa
A100,38.440467,-122.714431,Santa Rosa
A39,39.409608,-123.355566,Willits
A79,36.471865,-6.196595,San Fernando
A5,34.579434,-118.116461,Palmdale
A27,39.230151,-121.136075,Rough and Ready
A12,38.440467,-122.714431,Santa Rosa
A35,39.409608,-123.355566,Willits
A20,34.106676,-117.806726,San Dimas
A16,38.440467,-122.714431,Santa Rosa
A62,38.440467,-122.714431,Santa Rosa
A99,34.500831,-117.185876,Apple Valley
A35,39.409608,-123.355566,Willits
A16,37.005782,-121.568275,Gilroy
A29,37.441883,-122.143019,Palo Alto
A28,34.579434,-118.116461,Palmdale
A59,34.019454,-118.491191,Santa Monica
A76,33.743076,-117.109197,Homeland
A32,41.526509,-124.038407,Klamath
A32,33.846404,-118.046731,La Palma
A35,37.968812,-121.668008,Knightsen
A66,38.440467,-122.714431,Santa Rosa
A18,34.500831,-117.185876,Apple Valley
A97,38.440467,-122.714431,Santa Rosa
A91,37.957702,-121.29078,Stockton
A78,38.716687,-121.364422,Antelope
A30,38.440467,-122.714431,Santa Rosa
A40,41.526509,-124.038407,Klamath
A75,34.106676,-117.806726,San Dimas
A73,34.136119,-117.865339,Glendora
A71,38.805462,-123.017223,Cloverdale
A94,38.716687,-121.364422,Antelope
A84,35.373292,-119.018712,Bakersfield
A40,38.440467,-122.714431,Santa Rosa
A11,38.440467,-122.714431,Santa Rosa
A61,34.500831,-117.185876,Apple Valley
A68,34.354166,-119.059271,Santa Paula
A99,34.44805,-119.242889,Ojai
A2,33.19587,-117.379483,Oceanside
A90,33.683947,-117.794694,Irvine
A88,40.563763,-122.238892,Palo Cedro
A35,36.852455,-121.401602,Hollister
A79,36.471865,-6.196595,San Fernando
A94,33.683947,-117.794694,Irvine
A7,39.409608,-123.355566,Willits
A31,39.409608,-123.355566,Willits
A9,32.715329,-117.157255,San Diego
A9,32.715329,-117.157255,San Diego
A20,37.639097,-120.996878,Modesto
A70,38.693723,-119.779683,Markleeville
A50,35.373292,-119.018712,Bakersfield
A21,38.752124,-121.288006,Roseville
A34,40.563763,-122.238892,Palo Cedro
A85,37.639097,-120.996878,Modesto
A5,38.297538,-122.286865,Napa
A62,39.409608,-123.355566,Willits
A52,37.941325,-122.484704,San Quentin
A63,33.683947,-117.794694,Irvine
A12,38.440467,-122.714431,Santa Rosa
A71,32.811161,-115.380264,Holtville
A39,38.716687,-121.364422,Antelope
A81,34.953034,-120.435719,Santa Maria
A7,40.563763,-122.238892,Palo Cedro
A33,34.106676,-117.806726,San Dimas
A6,34.354166,-119.059271,Santa Paula
A24,36.852455,-121.401602,Hollister
A59,32.61768,-116.187424,Jacumba
A79,37.441883,-122.143019,Palo Alto
A100,38.40765,-122.947713,Occidental
A38,34.500831,-117.185876,Apple Valley
A46,34.500831,-117.185876,Apple Valley
A49,38.440467,-122.714431,Santa Rosa
A72,38.161861,-121.611621,Isleton
A38,40.563763,-122.238892,Palo Cedro
A80,37.77493,-122.419416,San Francisco
A64,37.941325,-122.484704,San Quentin
A35,37.968812,-121.668008,Knightsen
A38,39.409608,-123.355566,Willits
A68,33.743076,-117.109197,Homeland
A95,38.161861,-121.611621,Isleton
A12,37.962146,-122.345526,San Pablo
A53,38.440467,-122.714431,Santa Rosa
A76,38.440467,-122.714431,Santa Rosa
A19,36.977173,-121.899402,Aptos
A68,34.500831,-117.185876,Apple Valley
A96,37.962146,-122.345526,San Pablo
A38,40.563763,-122.238892,Palo Cedro
A68,33.743076,-117.109197,Homeland
A36,38.440467,-122.714431,Santa Rosa
A60,40.761243,-123.994778,Kneeland
A52,37.441883,-122.143019,Palo Alto
A91,38.440467,-122.714431,Santa Rosa
A59,34.019454,-118.491191,Santa Monica
A91,37.957702,-121.29078,Stockton
A55,37.005782,-121.568275,Gilroy
A76,37.77493,-122.419416,San Francisco
A61,39.409608,-123.355566,Willits
A85,37.77493,-122.419416,San Francisco
A83,34.500831,-117.185876,Apple Valley
A92,39.409608,-123.355566,Willits
A40,39.409608,-123.355566,Willits
A11,35.373292,-119.018712,Bakersfield
A12,38.440467,-122.714431,Santa Rosa
A90,38.716687,-121.364422,Antelope
A40,33.846404,-118.046731,La Palma
A65,33.663357,-116.310009,La Quinta
A38,39.409608,-123.355566,Willits
A2,39.017396,-122.057748,Arbuckle
A59,38.716687,-121.364422,Antelope
A38,36.977173,-121.899402,Aptos
A28,34.579434,-118.116461,Palmdale
A86,34.019454,-118.491191,Santa Monica
A78,38.297538,-122.286865,Napa
A75,32.61768,-116.187424,Jacumba
